"","x"
"2270",112
"2271",125
"2272",114
"2273",107
"2274",69
"2275",50
"2276",49
"2277",43
"2278",21
"2279",9
"2280",2
"2281",3
"2282",0
"2283",0
"2284",0
"2285",0
"2286",0
"2287",3
"2288",22
"2289",58
"2290",99
"2291",101
"2292",84
"2293",147
"2294",146
"2295",129
"2296",94
"2297",55
"2298",59
"2299",47
"2300",22
"2301",14
"2302",3
"2303",0
"2304",0
"2305",3
"2306",0
"2307",0
"2308",0
"2309",0
"2310",0
"2311",1
"2312",2
"2313",0
"2314",0
"2315",9
"2316",15
"2317",0
"2318",0
"2319",8
"2320",2
"2321",7
"2322",3
"2323",1
"2324",0
"2325",0
"2326",0
"2327",0
"2328",2
"2329",6
"2330",3
"2331",1
"2332",0
"2333",0
"2334",0
"2335",1
"2336",2
"2337",0
"2338",0
"2339",6
"2340",13
"2341",0
"2342",0
"2343",8
"2344",3
"2345",6
"2346",3
"2347",1
"2348",0
"2349",0
"2350",0
"2351",0
"2352",2
"2353",0
"2354",0
"2355",0
"2356",0
"2357",1
"2358",3
"2359",7
"2360",27
"2361",98
"2362",99
"2363",106
"2364",74
"2365",158
"2366",100
"2367",135
"2368",135
"2369",74
"2370",88
"2371",106
"2372",92
"2373",33
"2374",12
"2375",4
"2376",0
"2377",5
"2378",0
"2379",0
"2380",0
"2381",0
"2382",0
"2383",9
"2384",40
"2385",101
"2386",151
"2387",121
"2388",91
"2389",172
"2390",102
"2391",141
"2392",105
"2393",117
"2394",81
"2395",72
"2396",82
"2397",59
"2398",28
"2399",11
"2400",1
"2401",3
"2402",0
"2403",0
"2404",0
"2405",0
"2406",0
"2407",8
"2408",21
"2409",90
"2410",99
"2411",140
"2412",142
"2413",137
"2414",107
"2415",107
"2416",136
"2417",120
"2418",78
"2419",74
"2420",81
"2421",41
"2422",12
"2423",3
"2424",0
"2425",3
"2426",2
"2427",0
"2428",0
"2429",0
"2430",0
"2431",4
"2432",21
"2433",56
"2434",97
"2435",123
"2436",83
"2437",117
"2438",140
"2439",108
"2440",143
"2441",97
"2442",58
"2443",41
"2444",42
"2445",44
"2446",25
"2447",8
"2448",2
"2449",3
"2450",0
"2451",0
"2452",0
"2453",0
"2454",0
"2455",2
"2456",21
"2457",59
"2458",78
"2459",124
"2460",73
"2461",146
"2462",134
"2463",151
"2464",99
"2465",61
"2466",59
"2467",39
"2468",17
"2469",15
"2470",2
"2471",0
"2472",0
"2473",3
"2474",0
"2475",0
"2476",0
"2477",0
"2478",0
"2479",1
"2480",2
"2481",0
"2482",0
"2483",7
"2484",11
"2485",0
"2486",0
"2487",7
"2488",2
"2489",6
"2490",3
"2491",1
"2492",0
"2493",0
"2494",0
"2495",0
